modelo,h,objetivo,pronostico,piso_meses_conocidos,aporte_meses_futuros_pp,p025,p10,p90,p975,prob_en_rango,prob_sobre_rango,n_errores
encuesta,12,2027-08,3.05000,0.00000,3.00441,1.17798,1.68887,7.05895,8.45102,0.45395,0.52632,152
ensamble,1,2026-09,4.57756,4.42616,0.14487,4.06351,4.26891,4.94006,5.18490,0.00000,1.00000,163
ensamble,2,2026-10,4.74559,4.53030,0.20574,3.85260,4.34982,5.38612,6.08892,0.00000,1.00000,162
ensamble,3,2026-11,4.75002,4.41463,0.32069,3.77489,4.23420,5.65348,6.58013,0.00621,0.99379,161
ensamble,4,2026-12,4.93050,4.16037,0.73665,4.13472,4.34882,6.04149,7.28613,0.00000,1.00000,160
ensamble,5,2027-01,5.20026,4.06071,1.08913,4.24228,4.53947,6.68012,7.96109,0.00000,1.00000,159
ensamble,6,2027-02,4.92206,3.34389,1.51556,3.72806,4.17901,6.89424,8.30297,0.00000,1.00000,158
ensamble,7,2027-03,3.43465,0.94277,2.43863,2.17229,2.62117,5.91462,6.61811,0.27389,0.72611,157
ensamble,8,2027-04,3.12977,0.41996,2.66271,1.84178,2.36978,5.92396,7.06740,0.41026,0.57692,156
ensamble,9,2027-05,3.37845,0.58220,2.74213,1.75277,2.54888,6.31730,7.94163,0.29677,0.69677,155
ensamble,10,2027-06,3.28614,0.35263,2.88129,1.59415,2.37550,6.36221,8.71755,0.32468,0.66883,154
ensamble,11,2027-07,3.30688,0.06681,3.18659,1.68840,2.16857,6.52719,9.52748,0.28105,0.71242,153
ensamble,12,2027-08,3.45472,0.00000,3.39639,1.68437,2.15491,6.48790,10.28301,0.25658,0.73684,152
estacional,1,2026-09,4.57467,4.42616,0.14211,4.00127,4.20550,5.01122,5.33492,0.00000,1.00000,163
estacional,2,2026-10,4.76550,4.53030,0.22475,3.86476,4.22968,5.54249,6.32200,0.00000,1.00000,162
estacional,3,2026-11,4.84135,4.41463,0.40785,3.68021,4.05046,5.91475,6.90328,0.00000,1.00000,161
