modelo,h,n,cobertura_80,cobertura_95
encuesta,12,117,0.50427,0.64103
ensamble,1,139,0.73381,0.89928
ensamble,2,137,0.72993,0.89051
ensamble,3,135,0.62963,0.85185
ensamble,4,133,0.67669,0.84962
ensamble,5,131,0.67176,0.83969
ensamble,6,129,0.62791,0.86047
ensamble,7,127,0.61417,0.81102
ensamble,8,125,0.68000,0.77600
ensamble,9,123,0.64228,0.77236
ensamble,10,121,0.66116,0.77686
ensamble,11,119,0.61345,0.76471
ensamble,12,117,0.52991,0.73504
estacional,1,139,0.72662,0.87050
estacional,2,137,0.62044,0.85401
estacional,3,135,0.58519,0.79259
estacional,4,133,0.53383,0.76692
estacional,5,131,0.56489,0.73282
estacional,6,129,0.54264,0.65891
estacional,7,127,0.48819,0.67717
estacional,8,125,0.45600,0.65600
estacional,9,123,0.41463,0.60976
estacional,10,121,0.38843,0.53719
estacional,11,119,0.38655,0.49580
estacional,12,117,0.37607,0.47863
gbm,1,139,0.74101,0.93525
gbm,2,137,0.70803,0.89051
gbm,3,135,0.61481,0.80741
gbm,4,133,0.66165,0.78947
gbm,5,131,0.64122,0.76336
gbm,6,129,0.62016,0.79070
gbm,7,127,0.60630,0.78740
gbm,8,125,0.60000,0.77600
gbm,9,123,0.63415,0.78049
gbm,10,121,0.64463,0.79339
gbm,11,119,0.63866,0.76471
gbm,12,117,0.63248,0.73504
ingenuo,1,139,0.74820,0.91367
ingenuo,2,137,0.70803,0.86131
ingenuo,3,135,0.71852,0.81481
ingenuo,4,133,0.67669,0.79699
ingenuo,5,131,0.63359,0.78626
ingenuo,6,129,0.56589,0.75194
ingenuo,7,127,0.55118,0.67717
ingenuo,8,125,0.54400,0.67200
ingenuo,9,123,0.51220,0.65041
ingenuo,10,121,0.47934,0.64463
ingenuo,11,119,0.50420,0.59664
ingenuo,12,117,0.49573,0.58120
ridge,1,139,0.77698,0.88489
ridge,2,137,0.73723,0.89051
ridge,3,135,0.71111,0.86667
ridge,4,133,0.70677,0.81955
ridge,5,131,0.74046,0.82443
ridge,6,129,0.72093,0.84496
ridge,7,127,0.68504,0.83465
ridge,8,125,0.68800,0.80000
ridge,9,123,0.69106,0.78862
ridge,10,121,0.66116,0.76860
ridge,11,119,0.59664,0.74790
ridge,12,117,0.56410,0.68376
sarima,1,139,0.73381,0.89209
sarima,2,137,0.72993,0.87591
sarima,3,135,0.64444,0.85185
sarima,4,133,0.63910,0.82707
sarima,5,131,0.54198,0.80153
sarima,6,129,0.60465,0.77519
sarima,7,127,0.58268,0.76378
sarima,8,125,0.57600,0.73600
sarima,9,123,0.52033,0.72358
sarima,10,121,0.50413,0.70248
sarima,11,119,0.48739,0.67227
sarima,12,117,0.47863,0.65812
