modelo,h,n,dm,p_valor,mejor_que_ingenuo_5pct
encuesta,12,152,-0.79005,0.43074,False
ensamble,1,163,-4.87937,0.00000,True
ensamble,2,162,-3.09799,0.00230,True
ensamble,3,161,-1.99793,0.04742,True
ensamble,4,160,-1.57604,0.11700,False
ensamble,5,159,-0.96121,0.33792,False
ensamble,6,158,-0.60145,0.54841,False
ensamble,7,157,-0.50033,0.61755,False
ensamble,8,156,-0.48961,0.62510,False
ensamble,9,155,-0.47867,0.63285,False
ensamble,10,154,-0.36826,0.71319,False
ensamble,11,153,-0.19402,0.84642,False
ensamble,12,152,-0.04439,0.96465,False
estacional,1,163,-2.54560,0.01184,True
estacional,2,162,-0.80100,0.42431,False
estacional,3,161,-0.05819,0.95367,False
estacional,4,160,0.14209,0.88719,False
estacional,5,159,0.26676,0.79000,False
estacional,6,158,0.23515,0.81440,False
estacional,7,157,0.25410,0.79975,False
estacional,8,156,0.15856,0.87422,False
estacional,9,155,0.09325,0.92583,False
estacional,10,154,0.08153,0.93512,False
estacional,11,153,0.13797,0.89044,False
estacional,12,152,0.18820,0.85097,False
gbm,1,163,-3.54413,0.00051,True
gbm,2,162,-2.54391,0.01190,True
gbm,3,161,-1.15420,0.25014,False
gbm,4,160,-0.64605,0.51918,False
gbm,5,159,-0.18921,0.85017,False
gbm,6,158,0.18068,0.85685,False
gbm,7,157,0.40979,0.68252,False
gbm,8,156,0.73629,0.46266,False
gbm,9,155,0.70322,0.48298,False
gbm,10,154,0.85549,0.39362,False
gbm,11,153,0.66271,0.50852,False
gbm,12,152,0.16712,0.86750,False
ridge,1,163,-4.52120,0.00001,True
ridge,2,162,-2.19604,0.02952,True
ridge,3,161,-1.25024,0.21304,False
ridge,4,160,-1.06376,0.28905,False
ridge,5,159,-0.45482,0.64986,False
ridge,6,158,0.08040,0.93602,False
ridge,7,157,0.12584,0.90002,False
ridge,8,156,0.25636,0.79802,False
ridge,9,155,0.46257,0.64433,False
ridge,10,154,0.78066,0.43621,False
ridge,11,153,1.17375,0.24233,False
ridge,12,152,1.46269,0.14563,False
sarima,1,163,-4.18648,0.00005,True
sarima,2,162,-2.80655,0.00563,True
sarima,3,161,-1.64674,0.10157,False
sarima,4,160,-1.14676,0.25320,False
sarima,5,159,-0.67748,0.49909,False
sarima,6,158,-0.62124,0.53534,False
sarima,7,157,-0.49117,0.62400,False
sarima,8,156,-0.57595,0.56548,False
sarima,9,155,-0.60406,0.54669,False
sarima,10,154,-0.61319,0.54066,False
sarima,11,153,-0.57245,0.56786,False
sarima,12,152,-0.53276,0.59498,False
