origen,h,objetivo,modelo,pronostico,real,p025,p10,p90,p975
2015-12,12,2016-12,encuesta,3.45000,3.23488,3.52484,3.65990,4.63873,5.04647
2016-01,12,2017-01,encuesta,3.44458,3.09636,3.52101,3.66270,4.79366,5.36515
2016-02,12,2017-02,encuesta,3.43333,3.24979,3.51135,3.65967,5.05608,5.45613
2016-03,12,2017-03,encuesta,3.35000,3.97485,3.42961,3.58455,5.02232,5.36952
2016-04,12,2017-04,encuesta,3.28333,3.69472,3.36453,3.52610,4.93472,5.29959
2016-05,12,2017-05,encuesta,3.24167,3.03980,3.32446,3.49265,4.87212,5.25465
2016-06,12,2017-06,encuesta,3.16250,2.73244,3.24688,3.42170,4.77202,5.17222
2016-07,12,2017-07,encuesta,3.01458,2.85207,3.02544,3.19983,4.60316,5.02103
2016-08,12,2017-08,encuesta,2.76667,3.17381,2.66842,2.87688,4.34115,4.76985
2016-09,12,2017-09,encuesta,2.66250,2.94500,2.46519,2.71348,4.22288,4.66241
2016-10,12,2017-10,encuesta,2.71000,2.04014,2.51351,2.75837,4.25628,4.70664
2016-11,12,2017-11,encuesta,2.90833,1.54434,2.71265,2.95281,4.44051,4.90170
2016-12,12,2017-12,encuesta,2.90000,1.36486,2.68386,2.88344,4.41807,4.89010
2017-01,12,2018-01,encuesta,2.90208,1.25319,2.66627,2.78294,4.40606,4.88892
2017-02,12,2018-02,encuesta,2.90833,1.17956,2.67564,2.72261,4.39820,4.89190
2017-03,12,2018-03,encuesta,2.98750,0.36314,2.75793,2.80251,4.46327,4.96780
2017-04,12,2018-04,encuesta,3.06667,0.48487,2.84022,2.88240,4.52834,5.04369
2017-05,12,2018-05,encuesta,2.95458,0.93069,2.73125,2.76378,4.40215,4.92834
2017-06,12,2018-06,encuesta,2.88750,1.42933,2.54240,2.68674,4.31044,4.85686
2017-07,12,2018-07,encuesta,2.78542,1.61610,2.44344,2.58577,4.18374,4.75038
2017-08,12,2018-08,encuesta,2.73333,1.07058,2.39448,2.53479,4.10703,4.69390
2017-09,12,2018-09,encuesta,2.80625,1.28028,2.47052,2.60881,4.15532,4.76242
2017-10,12,2018-10,encuesta,2.66250,1.84089,2.24267,2.45401,3.98695,4.61428
2017-11,12,2018-11,encuesta,2.47500,2.16710,1.84111,2.25660,3.77482,4.42238
2017-12,12,2018-12,encuesta,2.30000,2.19252,1.05748,2.03920,3.57520,4.24299
2018-01,12,2019-01,encuesta,2.22500,2.12916,0.72409,1.86041,3.47558,4.16359
2018-02,12,2019-02,encuesta,2.18750,2.00339,0.56420,1.73346,3.41345,4.12170
2018-03,12,2019-03,encuesta,2.18125,2.24744,0.47245,1.51139,3.38258,4.11105
2018-04,12,2019-04,encuesta,2.16667,2.59265,-0.18055,0.87209,3.36380,4.09207
2018-05,12,2019-05,encuesta,2.21667,2.72513,-0.19776,0.71575,3.40960,4.13768
2018-06,12,2019-06,encuesta,2.27500,2.29478,-0.12548,0.76295,3.46373,4.19161
2018-07,12,2019-07,encuesta,2.32896,2.11191,-0.05757,0.82461,3.51349,4.24118
2018-08,12,2019-08,encuesta,2.39167,2.03972,0.01909,0.79965,3.57200,4.29949
2018-09,12,2019-09,encuesta,2.43750,1.85101,0.07887,0.85686,3.61364,4.34093
2018-10,12,2019-10,encuesta,2.43833,1.88056,0.09365,0.86906,3.61027,4.33736
2018-11,12,2019-11,encuesta,2.47500,1.86680,0.14426,0.91711,3.64274,4.36963
2018-12,12,2019-12,encuesta,2.50000,1.90009,0.18321,0.95348,3.66354,4.39024
2019-01,12,2020-01,encuesta,2.47708,1.88836,0.17424,0.94194,3.63642,4.36293
2019-02,12,2020-02,encuesta,2.40000,1.90404,0.11110,0.86577,3.55886,4.28145
2019-03,12,2020-03,encuesta,2.33000,1.82153,0.05505,0.79669,3.48838,4.20705
2019-04,12,2020-04,encuesta,2.38000,1.72449,0.11900,0.84761,3.53790,4.25266
2019-05,12,2020-05,encuesta,2.47083,1.78192,0.22378,0.93936,3.62826,4.33909
2019-06,12,2020-06,encuesta,2.47500,1.59873,0.24189,0.94444,3.63195,4.33886
2019-07,12,2020-07,encuesta,2.32292,1.86170,0.10376,0.79328,3.47939,4.18239
2019-08,12,2020-08,encuesta,2.30000,1.68740,0.09479,0.77128,3.45599,4.15507
2019-09,12,2020-09,encuesta,2.21250,1.81955,0.02124,0.68470,3.36801,4.06318
2019-10,12,2020-10,encuesta,2.22917,1.72400,0.05185,0.70228,3.38420,4.07545
2019-11,12,2020-11,encuesta,2.18333,2.14221,0.01997,0.65736,3.33789,4.02522
2019-12,12,2020-12,encuesta,2.22500,1.97323,0.07558,0.70581,3.37175,4.06249
2020-01,12,2021-01,encuesta,2.04583,2.67555,-0.08964,0.53342,3.18477,3.87893
2020-02,12,2021-02,encuesta,2.02500,2.40134,-0.09652,0.51937,3.15613,3.85370
2020-03,12,2021-03,encuesta,2.01875,2.59818,-0.08883,0.51990,3.14207,3.84305
2020-04,12,2021-04,encuesta,1.50833,2.38370,-0.58530,0.01627,2.62385,3.32824
2020-05,12,2021-05,encuesta,1.52083,2.44746,-0.55885,0.03555,2.62854,3.33634
2020-06,12,2021-06,encuesta,1.40000,3.25461,-0.66573,-0.07851,2.49990,3.21112
2020-07,12,2021-07,encuesta,1.45833,3.81460,-0.59345,-0.01339,2.55043,3.26505
2020-08,12,2021-08,encuesta,1.56667,4.95280,-0.47117,0.10172,2.65095,3.36899
2020-09,12,2021-09,encuesta,1.49375,5.22957,-0.53014,0.03558,2.57023,3.29168
2020-10,12,2021-10,encuesta,1.61667,5.82601,-0.39985,0.16792,2.69288,3.40936
2020-11,12,2021-11,encuesta,1.68333,5.65515,-0.32580,0.24400,2.75929,3.47079
