modelo,h,n,mae,rmse,sesgo,mae_relativo_ingenuo
encuesta,12,152,1.41082,2.01971,-0.55705,0.85784
ensamble,1,163,0.21213,0.30460,-0.03029,0.72335
ensamble,2,162,0.35739,0.51371,-0.09150,0.77592
ensamble,3,161,0.48872,0.68902,-0.15783,0.81776
ensamble,4,160,0.60098,0.84725,-0.22730,0.82811
ensamble,5,159,0.73878,1.01413,-0.30343,0.87671
ensamble,6,158,0.88507,1.20239,-0.39988,0.91248
ensamble,7,157,1.00164,1.35160,-0.46947,0.91925
ensamble,8,156,1.10369,1.52734,-0.56620,0.91221
ensamble,9,155,1.20697,1.71138,-0.65333,0.90618
ensamble,10,154,1.32824,1.90308,-0.72961,0.92071
ensamble,11,153,1.46994,2.14568,-0.82918,0.95335
ensamble,12,152,1.62623,2.36183,-0.92250,0.98881
estacional,1,163,0.25286,0.33842,-0.01105,0.86225
estacional,2,162,0.43318,0.57256,-0.02708,0.94047
estacional,3,161,0.59419,0.78454,-0.04311,0.99425
estacional,4,160,0.73841,0.97447,-0.06014,1.01746
estacional,5,159,0.87639,1.15684,-0.07885,1.04000
estacional,6,158,1.00813,1.33734,-0.09571,1.03935
estacional,7,157,1.13995,1.51785,-0.10302,1.04619
estacional,8,156,1.24640,1.68771,-0.10549,1.03017
estacional,9,155,1.35623,1.85695,-0.10934,1.01824
estacional,10,154,1.46623,2.03009,-0.11498,1.01636
estacional,11,153,1.58566,2.20546,-0.12356,1.02840
estacional,12,152,1.70913,2.38135,-0.13406,1.03922
gbm,1,163,0.22842,0.31791,-0.01454,0.77892
gbm,2,162,0.37243,0.50786,-0.04252,0.80857
gbm,3,161,0.53155,0.70890,-0.13784,0.88944
gbm,4,160,0.67195,0.84257,-0.17749,0.92589
gbm,5,159,0.81856,1.02536,-0.22310,0.97138
gbm,6,158,0.99852,1.23324,-0.38464,1.02944
gbm,7,157,1.16457,1.44477,-0.40937,1.06878
gbm,8,156,1.36762,1.71710,-0.50391,1.13036
gbm,9,155,1.50948,1.93137,-0.62713,1.13330
gbm,10,154,1.68312,2.14854,-0.73607,1.16671
gbm,11,153,1.75925,2.25560,-0.81373,1.14098
gbm,12,152,1.70639,2.28526,-0.79009,1.03756
ingenuo,1,163,0.29326,0.39554,-0.00961,1.00000
ingenuo,2,162,0.46060,0.62948,-0.01964,1.00000
ingenuo,3,161,0.59763,0.83626,-0.02856,1.00000
ingenuo,4,160,0.72573,1.00634,-0.03873,1.00000
ingenuo,5,159,0.84268,1.17793,-0.04872,1.00000
ingenuo,6,158,0.96996,1.35424,-0.05557,1.00000
ingenuo,7,157,1.08962,1.52194,-0.04938,1.00000
ingenuo,8,156,1.20990,1.66999,-0.03960,1.00000
ingenuo,9,155,1.33193,1.81081,-0.03132,1.00000
ingenuo,10,154,1.44262,1.95566,-0.02068,1.00000
ingenuo,11,153,1.54187,2.10284,-0.01034,1.00000
ingenuo,12,152,1.64463,2.25113,-0.00053,1.00000
ridge,1,163,0.21655,0.31018,-0.03791,0.73844
ridge,2,162,0.37775,0.54518,-0.12673,0.82013
ridge,3,161,0.52056,0.74064,-0.22486,0.87105
ridge,4,160,0.63219,0.91744,-0.32927,0.87111
ridge,5,159,0.78721,1.11137,-0.44287,0.93417
ridge,6,158,0.98267,1.35111,-0.59288,1.01310
ridge,7,157,1.11423,1.51015,-0.70684,1.02259
ridge,8,156,1.27061,1.74862,-0.88200,1.05018
ridge,9,155,1.45994,2.00404,-1.03677,1.09610
ridge,10,154,1.69080,2.27687,-1.16804,1.17203
ridge,11,153,1.97911,2.66228,-1.34379,1.28358
ridge,12,152,2.25556,2.99373,-1.50455,1.37147
sarima,1,163,0.22138,0.31192,-0.02266,0.75491
sarima,2,162,0.36814,0.51996,-0.05627,0.79925
sarima,3,161,0.50951,0.70112,-0.09081,0.85256
sarima,4,160,0.63396,0.86371,-0.12533,0.87355
sarima,5,159,0.76652,1.02796,-0.16399,0.90963
sarima,6,158,0.87916,1.18807,-0.20687,0.90638
sarima,7,157,1.00148,1.34434,-0.23209,0.91911
sarima,8,156,1.08739,1.48227,-0.25039,0.89874
sarima,9,155,1.18459,1.62312,-0.26990,0.88938
sarima,10,154,1.27497,1.77089,-0.29118,0.88379
sarima,11,153,1.36847,1.91912,-0.31457,0.88754
sarima,12,152,1.46783,2.07031,-0.34044,0.89250
