origen,h,objetivo,modelo,pronostico,real
2013-01,1,2013-02,ingenuo,2.872076,2.449562
2013-01,2,2013-03,ingenuo,2.872076,2.591825
2013-01,3,2013-04,ingenuo,2.872076,2.306950
2013-01,4,2013-05,ingenuo,2.872076,2.464773
2013-01,5,2013-06,ingenuo,2.872076,2.770735
2013-01,6,2013-07,ingenuo,2.872076,3.241124
2013-01,7,2013-08,ingenuo,2.872076,3.276566
2013-01,8,2013-09,ingenuo,2.872076,2.830841
2013-01,9,2013-10,ingenuo,2.872076,3.038482
2013-01,10,2013-11,ingenuo,2.872076,2.955139
2013-01,11,2013-12,ingenuo,2.872076,2.859681
2013-01,12,2014-01,ingenuo,2.872076,3.066631
2013-01,1,2013-02,estacional,2.920266,2.449562
2013-01,2,2013-03,estacional,2.781227,2.591825
2013-01,3,2013-04,estacional,2.525936,2.306950
2013-01,4,2013-05,estacional,2.604429,2.464773
2013-01,5,2013-06,estacional,2.793999,2.770735
2013-01,6,2013-07,estacional,3.109504,3.241124
2013-01,7,2013-08,estacional,2.880093,3.276566
2013-01,8,2013-09,estacional,2.595516,2.830841
2013-01,9,2013-10,estacional,2.916148,3.038482
2013-01,10,2013-11,estacional,3.160363,2.955139
2013-01,11,2013-12,estacional,3.179195,2.859681
2013-01,12,2014-01,estacional,3.226276,3.066631
2013-01,1,2013-02,encuesta,,2.449562
2013-01,2,2013-03,encuesta,,2.591825
2013-01,3,2013-04,encuesta,,2.306950
2013-01,4,2013-05,encuesta,,2.464773
2013-01,5,2013-06,encuesta,,2.770735
2013-01,6,2013-07,encuesta,,3.241124
2013-01,7,2013-08,encuesta,,3.276566
2013-01,8,2013-09,encuesta,,2.830841
2013-01,9,2013-10,encuesta,,3.038482
2013-01,10,2013-11,encuesta,,2.955139
2013-01,11,2013-12,encuesta,,2.859681
2013-01,12,2014-01,encuesta,2.591667,3.066631
2013-01,1,2013-02,sarima,2.835046,2.449562
2013-01,2,2013-03,sarima,2.508739,2.591825
2013-01,3,2013-04,sarima,2.189018,2.306950
2013-01,4,2013-05,sarima,2.303054,2.464773
2013-01,5,2013-06,sarima,2.522926,2.770735
2013-01,6,2013-07,sarima,2.676940,3.241124
2013-01,7,2013-08,sarima,2.348070,3.276566
2013-01,8,2013-09,sarima,2.039876,2.830841
2013-01,9,2013-10,sarima,2.379986,3.038482
2013-01,10,2013-11,sarima,2.668985,2.955139
2013-01,11,2013-12,sarima,2.673085,2.859681
2013-01,12,2014-01,sarima,2.783141,3.066631
2013-01,1,2013-02,ridge,2.742837,2.449562
2013-01,2,2013-03,ridge,2.465034,2.591825
2013-01,3,2013-04,ridge,2.170415,2.306950
2013-01,4,2013-05,ridge,2.286072,2.464773
2013-01,5,2013-06,ridge,2.752376,2.770735
2013-01,6,2013-07,ridge,3.158436,3.241124
2013-01,7,2013-08,ridge,2.909576,3.276566
2013-01,8,2013-09,ridge,2.748282,2.830841
2013-01,9,2013-10,ridge,3.321236,3.038482
2013-01,10,2013-11,ridge,3.614681,2.955139
2013-01,11,2013-12,ridge,3.491431,2.859681
2013-01,12,2014-01,ridge,3.396488,3.066631
2013-01,1,2013-02,gbm,2.670509,2.449562
2013-01,2,2013-03,gbm,2.271256,2.591825
2013-01,3,2013-04,gbm,2.024440,2.306950
2013-01,4,2013-05,gbm,1.624133,2.464773
2013-01,5,2013-06,gbm,2.189404,2.770735
2013-01,6,2013-07,gbm,2.417464,3.241124
2013-01,7,2013-08,gbm,2.273951,3.276566
2013-01,8,2013-09,gbm,2.271744,2.830841
2013-01,9,2013-10,gbm,3.059827,3.038482
2013-01,10,2013-11,gbm,3.631024,2.955139
2013-01,11,2013-12,gbm,4.041362,2.859681
2013-01,12,2014-01,gbm,4.183387,3.066631
2013-02,1,2013-03,ingenuo,2.449562,2.591825
2013-02,2,2013-04,ingenuo,2.449562,2.306950
2013-02,3,2013-05,ingenuo,2.449562,2.464773
2013-02,4,2013-06,ingenuo,2.449562,2.770735
2013-02,5,2013-07,ingenuo,2.449562,3.241124
2013-02,6,2013-08,ingenuo,2.449562,3.276566
2013-02,7,2013-09,ingenuo,2.449562,2.830841
2013-02,8,2013-10,ingenuo,2.449562,3.038482
2013-02,9,2013-11,ingenuo,2.449562,2.955139
2013-02,10,2013-12,ingenuo,2.449562,2.859681
2013-02,11,2014-01,ingenuo,2.449562,3.066631
2013-02,12,2014-02,ingenuo,2.449562,3.776330
